Name,Location,Category,Focus,Impact,Contact,Website,Districts
"Akshaya Patra Foundation","Chennai, Madurai, Coimbatore",education,"Mid-day meal program for school children","Serves 1.8 million children daily across Tamil Nadu",chennai@akshayapatra.org,www.akshayapatra.org,"Chennai, Madurai, Coimbatore, Tiruchirappalli"
"Teach for India",Chennai,education,"Educational equity through fellowship program","Reaching 10,000+ students in underserved communities",chennai@teachforindia.org,www.teachforindia.org,Chennai
"Pratham Tamil Nadu","Chennai, Tiruvallur, Kanchipuram",education,"Improving reading and math skills for children","Impacting 75,000+ children annually",tamilnadu@pratham.org,www.pratham.org,"Chennai, Tiruvallur, Kanchipuram"
"Isha Vidhya","Coimbatore, Erode, Tirupur",education,"Rural education and computer literacy","Operating 206 schools across Tamil Nadu",info@ishavidhya.org,www.ishavidhya.org,"Coimbatore, Erode, Tirupur, Nilgiris"
"Nanban Foundation",Chennai,education,"Education and skill development for underprivileged","Supporting 5,000+ students with scholarships",info@nanbanfoundation.org,www.nanbanfoundation.org,"Chennai, Tiruvallur"
"Sevalaya",Tiruvallur,education,"Education, healthcare and community development","Educating 2,000+ rural children",sevalayakasuva@gmail.com,www.sevalaya.org,"Tiruvallur, Chennai"
"Bhumi","Chennai, Coimbatore",education,"Volunteer-driven education support","Reaching 15,000+ children through volunteers",chennai@bhumi.ngo,www.bhumi.ngo,"Chennai, Coimbatore, Madurai"
"Agaram Foundation",Chennai,education,"Higher education scholarships for rural students","Supporting 10,000+ students with college education",info@agaramfoundation.org,www.agaramfoundation.org,"Chennai, Tiruvallur, Kanchipuram"
"Aseema Charitable Trust",Chennai,education,"Education for underprivileged children","Educating 3,000+ children",info@aseema.org,www.aseema.org,Chennai
"Shanti Bhavan",Vellore,education,"Residential education for disadvantaged children","Transforming lives of 300+ children",info@shantibhavan.org,www.shantibhavan.org,Vellore
"Aravind Eye Care System","Madurai, Coimbatore, Tirunelveli",healthcare,"Eye care and cataract surgeries","Performed 5+ million eye surgeries, 60% free",info@aravind.org,www.aravind.org,"Madurai, Coimbatore, Tirunelveli"
"TANKER Foundation",Chennai,healthcare,"Kidney disease awareness and dialysis support","Providing free dialysis to 1,500+ patients monthly",info@tankerfoundation.org,www.tankerfoundation.org,"Chennai, Kanchipuram, Tiruvallur"
"Sankara Nethralaya",Chennai,healthcare,"Comprehensive eye care services","Treating 2,000+ patients daily",info@sankaranethralaya.org,www.sankaranethralaya.org,Chennai
"Ganga Hospital Foundation",Coimbatore,healthcare,"Trauma care and reconstructive surgery","Treating 60,000+ patients annually",info@gangahospital.com,www.gangahospital.com,"Coimbatore, Tirupur, Erode"
"Arogya World",Chennai,healthcare,"Diabetes and chronic disease prevention","Reaching 1 million+ people with health education",info@arogyaworld.org,www.arogyaworld.org,"Chennai, Kanchipuram"
"Environmentalist Foundation of India (EFI)",Chennai,environment,"Lake and water body restoration","Restored 95+ water bodies across Tamil Nadu",efi@efiglobal.org,www.efiglobal.org,"Chennai, Kanchipuram, Tiruvallur, Chengalpattu"
"Isha Outreach - Project GreenHands",Coimbatore,environment,"Tree plantation and green cover","Planted 35+ million trees across Tamil Nadu",pgh@ishafoundation.org,www.projectgreenhands.org,"Coimbatore, Erode, Tirupur, Nilgiris, Karur"
"Care Earth Trust",Chennai,environment,"Wildlife conservation and biodiversity","Protecting 60+ endangered species",info@careearthtrust.org,www.careearthtrust.org,"Chennai, Kanchipuram, Tiruvallur"
"Nizhal",Chennai,environment,"Urban greening and tree conservation","Planted 150,000+ trees in urban areas",info@nizhal.org,www.nizhal.org,Chennai
